,timestamp,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,-0.062042,0.450196,-0.890772,-0.289991,0.361144,-0.886273,-0.196,0.428,1.53,1.26,0.48,0.0,0.06,0.0,0.0,0.0,0.39,0.62,0.0,0.48,0.0,0.0,0.0,0.0,2.58
1,0.04,-0.04149,0.453137,-0.890475,-0.286038,0.355827,-0.889702,-0.182,0.427,1.48,1.2,0.45,0.0,0.03,0.0,0.0,0.0,0.37,0.55,0.0,0.52,0.0,0.0,0.0,0.0,2.61
2,0.08,-0.03825,0.450888,-0.891761,-0.282637,0.356868,-0.890371,-0.178,0.426,1.45,1.12,0.42,0.0,0.01,0.0,0.0,0.0,0.33,0.57,0.0,0.58,0.0,0.0,0.0,0.0,2.66
3,0.12,-0.042519,0.4532,-0.890394,-0.283503,0.359457,-0.889054,-0.181,0.428,1.39,0.99,0.41,0.0,0.0,0.0,0.0,0.0,0.32,0.6,0.0,0.57,0.0,0.0,0.0,0.0,2.54
4,0.16,-0.044118,0.453608,-0.890109,-0.274615,0.374876,-0.885468,-0.178,0.437,1.42,0.98,0.39,0.0,0.0,0.0,0.0,0.0,0.32,0.7,0.0,0.57,0.0,0.0,0.01,0.0,2.54
5,0.2,-0.047939,0.451112,-0.891179,-0.268732,0.373602,-0.887809,-0.176,0.434,1.41,1.0,0.42,0.0,0.0,0.0,0.0,0.0,0.38,0.66,0.0,0.49,0.0,0.0,0.01,0.0,2.45
6,0.24,-0.047861,0.446692,-0.893407,-0.28456,0.358358,-0.88916,-0.184,0.424,1.44,1.1,0.44,0.0,0.0,0.0,0.0,0.0,0.39,0.73,0.0,0.43,0.0,0.0,0.01,0.0,2.52
7,0.28,-0.04543,0.446348,-0.893705,-0.292622,0.355182,-0.887816,-0.188,0.423,1.43,1.06,0.47,0.0,0.0,0.0,0.0,0.0,0.42,0.73,0.0,0.41,0.0,0.0,0.01,0.0,2.5
8,0.32,-0.057524,0.445669,-0.893348,-0.274488,0.366304,-0.889088,-0.184,0.427,1.45,0.98,0.47,0.0,0.0,0.0,0.0,0.0,0.45,0.77,0.0,0.44,0.0,0.0,0.01,0.0,2.51
9,0.36,-0.043734,0.441878,-0.896009,-0.281802,0.357095,-0.890545,-0.18,0.421,1.45,0.96,0.47,0.0,0.0,0.02,0.0,0.0,0.47,0.75,0.0,0.5,0.0,0.0,0.0,0.0,2.47
10,0.4,-0.03845,0.443485,-0.895456,-0.279745,0.356664,-0.891366,-0.176,0.421,1.48,1.05,0.51,0.0,0.0,0.03,0.0,0.0,0.49,0.81,0.0,0.48,0.0,0.0,0.0,0.0,2.49
11,0.44,-0.042849,0.443261,-0.895368,-0.285268,0.35089,-0.891907,-0.182,0.418,1.41,1.13,0.5,0.0,0.0,0.03,0.0,0.0,0.46,0.88,0.0,0.43,0.0,0.0,0.0,0.0,2.48
12,0.48,-0.048161,0.438547,-0.897417,-0.30226,0.339968,-0.890539,-0.194,0.411,1.35,1.14,0.52,0.0,0.0,0.02,0.0,0.0,0.43,0.94,0.0,0.33,0.0,0.0,0.0,0.0,2.54
13,0.52,-0.041993,0.44058,-0.896731,-0.292166,0.342078,-0.893097,-0.185,0.412,1.24,1.03,0.46,0.0,0.0,0.02,0.0,0.0,0.38,0.96,0.0,0.38,0.0,0.0,0.0,0.0,2.63
14,0.56,-0.048916,0.434675,-0.899258,-0.296132,0.340865,-0.892254,-0.19,0.409,1.25,0.94,0.5,0.0,0.0,0.02,0.0,0.0,0.37,1.02,0.0,0.45,0.0,0.0,0.0,0.0,2.68
15,0.6,-0.043495,0.435266,-0.89925,-0.308915,0.33213,-0.891214,-0.194,0.405,1.29,1.06,0.54,0.0,0.0,0.02,0.0,0.0,0.34,1.03,0.0,0.57,0.0,0.0,0.0,0.0,2.76
16,0.64,-0.044422,0.434697,-0.89948,-0.313529,0.343726,-0.885185,-0.198,0.411,1.35,1.2,0.59,0.0,0.0,0.0,0.0,0.0,0.33,1.02,0.0,0.55,0.0,0.0,0.0,0.0,2.68
17,0.68,-0.045073,0.434033,-0.899769,-0.310936,0.354185,-0.88197,-0.197,0.417,1.4,1.39,0.55,0.0,0.0,0.0,0.0,0.0,0.29,0.97,0.0,0.51,0.0,0.0,0.0,0.0,2.64
18,0.72,-0.041538,0.431292,-0.901256,-0.31007,0.341737,-0.887171,-0.194,0.408,1.43,1.43,0.51,0.0,0.0,0.0,0.0,0.0,0.25,0.86,0.0,0.45,0.0,0.0,0.0,0.0,2.62
19,0.76,-0.036108,0.435329,-0.899547,-0.320181,0.342035,-0.883457,-0.197,0.411,1.48,1.46,0.55,0.0,0.0,0.0,0.0,0.0,0.25,0.79,0.0,0.54,0.0,0.0,0.0,0.0,2.67
20,0.8,-0.026323,0.429623,-0.902625,-0.253627,0.348213,-0.902453,-0.154,0.407,1.51,1.52,0.56,0.0,0.0,0.0,0.0,0.0,0.27,0.75,0.0,0.59,0.0,0.0,0.0,0.0,2.69
21,0.84,-0.024211,0.432078,-0.901511,-0.253388,0.346863,-0.90304,-0.153,0.407,1.56,1.56,0.56,0.0,0.0,0.0,0.0,0.0,0.3,0.74,0.0,0.65,0.0,0.0,0.0,0.0,2.66
