,timestamp,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,450.0,-0.112486,0.070686,-0.991136,-0.250776,0.152185,-0.956008,-0.184,0.114,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.37,0.0,0.34,1.17,0.08,1.61,0.0,0.64,0.0
1,450.03,-0.115044,0.024563,-0.993057,-0.245523,0.097023,-0.964523,-0.182,0.062,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.53,0.01,0.36,1.18,0.07,1.54,0.0,0.67,0.0
2,450.07,-0.112758,0.025707,-0.99329,-0.251094,0.104246,-0.962333,-0.184,0.066,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.6,0.01,0.31,1.16,0.01,1.67,0.0,0.76,0.0
3,450.1,-0.111382,0.021957,-0.993535,-0.247836,0.105803,-0.963007,-0.182,0.065,0.0,0.08,0.0,0.58,0.0,0.0,0.0,0.0,0.61,0.01,0.42,1.29,0.1,1.74,0.0,0.67,0.0
4,450.13,-0.114723,0.023801,-0.993112,-0.228082,0.111319,-0.967257,-0.173,0.069,0.0,0.08,0.09,0.81,0.0,0.0,0.0,0.0,0.63,0.0,0.7,1.5,0.12,1.87,0.0,0.6,0.0
5,450.17,-0.099727,-0.013143,-0.994928,-0.254871,0.042821,-0.966026,-0.179,0.015,0.0,0.08,0.12,0.68,0.0,0.0,0.0,0.0,0.66,0.0,1.01,1.7,0.12,1.85,0.0,0.59,0.0
6,450.2,-0.115457,-0.012186,-0.993238,-0.205696,0.057823,-0.976906,-0.162,0.023,0.0,0.0,0.12,0.44,0.0,0.0,0.0,0.0,0.62,0.0,1.26,1.76,0.02,1.85,0.0,0.7,0.0
7,450.23,-0.10444,-0.011412,-0.994466,-0.21944,0.073131,-0.972881,-0.163,0.031,0.0,0.0,0.07,0.18,0.0,0.0,0.0,0.0,0.59,0.0,1.42,1.83,0.0,1.84,0.0,0.87,0.0
8,450.27,-0.105149,-0.026654,-0.994099,-0.203914,0.05554,-0.977412,-0.155,0.015,0.03,0.0,0.08,0.29,0.0,0.0,0.0,0.0,0.54,0.0,1.61,1.92,0.0,1.92,0.0,0.9,0.0
9,450.3,-0.098384,-0.047592,-0.99401,-0.189185,0.022334,-0.981687,-0.145,-0.013,0.03,0.0,0.15,0.28,0.0,0.0,0.0,0.01,0.6,0.0,1.83,2.15,0.0,1.94,0.0,1.01,0.0
10,450.33,-0.114607,-0.070861,-0.99088,-0.216511,0.05288,-0.974847,-0.167,-0.009,0.03,0.0,0.33,0.39,0.0,0.0,0.0,0.01,0.57,0.0,1.7,2.23,0.01,1.91,0.0,1.16,0.0
11,450.37,-0.152805,-0.074288,-0.98546,-0.234201,0.021571,-0.971949,-0.195,-0.027,0.01,0.0,0.34,0.52,0.0,0.0,0.0,0.03,0.61,0.0,1.63,2.37,0.01,2.08,0.0,1.42,0.0
12,450.4,-0.174428,-0.071655,-0.982059,-0.246123,0.030095,-0.968771,-0.212,-0.021,0.0,0.0,0.48,0.71,0.0,0.0,0.0,0.06,0.64,0.0,1.59,2.42,0.23,2.28,0.0,1.62,0.0
13,450.43,-0.204511,-0.075386,-0.975957,-0.232934,0.023576,-0.972207,-0.221,-0.027,0.05,0.0,0.42,0.8,0.0,0.0,0.0,0.26,0.81,0.0,1.75,2.39,0.36,2.38,0.0,1.68,0.0
14,450.47,-0.222172,-0.09743,-0.970127,-0.250769,-0.005558,-0.968031,-0.239,-0.053,0.09,0.0,0.51,0.91,0.0,0.0,0.0,0.39,0.94,0.0,1.88,2.34,0.54,2.33,0.0,1.65,0.0
15,450.5,-0.221768,-0.095161,-0.970445,-0.24527,-0.011849,-0.969382,-0.236,-0.055,0.17,0.0,0.51,1.14,0.0,0.0,0.0,0.55,1.02,0.0,1.89,2.23,0.53,2.21,0.0,1.5,0.0
16,450.53,-0.224028,-0.107037,-0.968687,-0.223647,-0.009514,-0.974624,-0.226,-0.06,0.2,0.0,0.56,1.22,0.0,0.0,0.0,0.57,1.0,0.0,1.99,2.25,0.61,2.17,0.0,1.35,0.0
17,450.57,-0.223491,-0.106715,-0.968847,-0.225047,-0.018565,-0.974171,-0.227,-0.064,0.16,0.0,0.6,1.16,0.0,0.0,0.0,0.75,1.03,0.0,1.91,2.12,0.71,2.09,0.0,1.09,0.0
18,450.6,-0.22509,-0.094958,-0.9697,-0.190006,-0.054078,-0.980292,-0.21,-0.076,0.08,0.0,0.64,1.28,0.0,0.03,0.0,0.8,1.08,0.0,1.83,1.93,0.8,2.12,0.0,1.0,0.0
19,450.63,-0.242437,-0.066092,-0.967913,-0.200118,-0.039439,-0.978978,-0.224,-0.054,0.0,0.0,0.61,1.45,0.0,0.07,0.0,0.92,1.17,0.0,1.66,1.6,0.88,2.07,0.0,1.0,0.0
20,450.67,-0.251854,-0.074181,-0.964918,-0.23451,-0.077781,-0.968997,-0.246,-0.078,0.0,0.0,0.63,1.67,0.02,0.15,0.0,0.96,1.28,0.0,1.67,1.39,0.89,2.03,0.0,1.1,0.0
21,450.7,-0.245365,-0.072429,-0.966721,-0.238812,-0.077583,-0.967962,-0.245,-0.077,0.0,0.0,0.64,1.7,0.02,0.32,0.0,1.07,1.26,0.0,1.66,1.33,0.92,2.06,0.0,1.3,0.0
22,450.73,-0.241295,-0.063195,-0.968392,-0.221904,-0.021261,-0.974837,-0.234,-0.043,0.0,0.0,0.64,1.76,0.02,0.44,0.0,1.14,1.21,0.0,1.72,1.49,0.85,2.19,0.0,1.44,0.0
23,450.77,-0.257559,-0.055068,-0.964692,-0.247748,-0.020689,-0.968604,-0.256,-0.039,0.23,0.0,0.71,1.59,0.0,0.42,0.04,1.16,1.03,0.0,1.4,1.55,0.9,2.17,0.0,1.51,0.0
24,450.8,-0.23967,-0.094084,-0.966285,-0.273567,-0.017968,-0.961685,-0.26,-0.058,0.43,0.0,0.65,1.47,0.0,0.23,0.07,1.13,0.96,0.0,1.03,1.52,0.92,1.98,0.0,1.3,0.0
25,450.83,-0.221853,-0.048154,-0.97389,-0.254735,-0.01173,-0.96694,-0.241,-0.031,0.61,0.0,0.64,1.25,0.0,0.07,0.07,1.08,0.95,0.0,0.85,1.54,1.03,1.81,0.0,1.16,0.0
26,450.87,-0.230362,-0.038435,-0.972346,-0.262246,-0.03208,-0.964468,-0.249,-0.036,0.47,0.0,0.55,1.29,0.0,0.0,0.03,1.15,0.94,0.0,0.89,1.65,0.98,1.8,0.0,1.06,0.0
27,450.9,-0.218844,-0.056901,-0.974099,-0.270204,-0.031512,-0.962287,-0.247,-0.046,0.47,0.0,0.47,1.34,0.01,0.07,0.0,1.22,0.97,0.0,0.96,1.88,0.79,1.83,0.0,1.11,0.0
28,450.93,-0.184142,-0.066733,-0.980632,-0.280382,-0.016697,-0.959743,-0.235,-0.043,0.4,0.0,0.57,1.38,0.01,0.07,0.0,1.19,0.94,0.0,1.0,1.92,0.49,1.7,0.0,1.24,0.0
29,450.97,-0.177032,-0.101948,-0.978911,-0.220005,-0.046882,-0.974371,-0.201,-0.076,0.4,0.0,0.62,1.54,0.01,0.07,0.0,1.0,0.98,0.0,0.83,1.92,0.2,1.65,0.0,1.52,0.0
30,451.0,-0.16272,-0.085057,-0.982999,-0.238634,-0.080842,-0.967739,-0.203,-0.085,0.42,0.03,0.64,1.54,0.0,0.0,0.0,0.89,1.03,0.0,0.78,1.95,0.03,1.53,0.0,1.72,0.0
31,451.03,-0.201003,-0.112562,-0.973102,-0.198913,-0.097209,-0.975184,-0.202,-0.107,0.47,0.03,0.6,1.53,0.0,0.23,0.1,0.92,0.97,0.0,0.5,2.16,0.0,1.59,0.0,1.83,0.0
32,451.07,-0.086302,0.031404,-0.995774,-0.180502,0.003414,-0.983569,-0.134,0.018,0.58,0.03,0.53,1.39,0.0,0.43,0.18,0.94,0.81,0.0,0.46,2.44,0.0,1.62,0.0,1.8,0.0
33,451.1,-0.080907,0.039411,-0.995942,-0.179663,0.011308,-0.983663,-0.131,0.026,0.57,0.0,0.63,1.24,0.0,0.66,0.22,0.99,0.66,0.0,0.38,2.66,0.0,1.68,0.0,1.84,0.0
34,451.13,-0.092382,0.050477,-0.994443,-0.193431,0.022048,-0.980866,-0.144,0.037,0.65,0.0,0.54,1.24,0.0,0.43,0.11,0.92,0.63,0.0,0.58,2.68,0.0,1.73,0.0,1.71,0.0
35,451.17,-0.076947,-0.0216,-0.996801,-0.177908,0.009617,-0.984,-0.128,-0.006,0.69,0.0,0.62,1.21,0.0,0.22,0.03,0.9,0.7,0.0,0.6,2.68,0.0,1.72,0.0,1.6,0.0
36,451.2,-0.066323,0.002753,-0.997794,-0.179965,0.02749,-0.983289,-0.124,0.015,0.74,0.0,0.59,1.24,0.0,0.16,0.0,0.82,0.67,0.0,0.59,2.76,0.0,1.81,0.0,1.49,0.0
37,451.23,-0.057235,0.02148,-0.99813,-0.177988,0.042291,-0.983123,-0.118,0.032,0.81,0.0,0.63,1.18,0.0,0.39,0.03,0.76,0.64,0.0,0.44,2.81,0.0,1.96,0.0,1.52,0.0
38,451.27,-0.054429,0.013404,-0.998428,-0.181464,0.036544,-0.982718,-0.119,0.025,0.87,0.0,0.54,1.19,0.0,0.52,0.03,0.76,0.57,0.0,0.48,2.94,0.0,2.08,0.0,1.57,0.0
