,timestamp,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,540.08,0.130733,0.000784,-0.991417,-0.004855,0.037941,-0.999268,0.063,0.019,0.0,0.0,1.2,0.0,0.27,0.01,0.36,0.34,0.05,0.01,0.0,0.38,0.0,0.0,0.21,0.32,0.68
1,540.12,0.139455,-0.004836,-0.990217,-0.00113,0.007448,-0.999972,0.069,0.001,0.0,0.0,1.1,0.0,0.08,0.0,0.26,0.14,0.0,0.0,0.0,0.44,0.0,0.0,0.08,0.46,0.65
2,540.16,0.147225,5.2e-05,-0.989103,-0.004971,0.019637,-0.999795,0.071,0.01,0.0,0.0,1.01,0.0,0.04,0.0,0.14,0.15,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.36,0.57
3,540.2,0.129202,-0.001505,-0.991617,-0.011692,0.009289,-0.999888,0.059,0.004,0.0,0.0,1.14,0.01,0.11,0.0,0.09,0.26,0.0,0.05,0.0,0.38,0.02,0.0,0.33,0.31,0.6
4,540.24,0.126136,-0.053673,-0.99056,-0.067534,-0.032722,-0.99718,0.029,-0.043,0.0,0.0,1.28,0.13,0.22,0.0,0.08,0.46,0.0,0.19,0.0,0.23,0.11,0.0,0.61,0.32,0.65
5,540.28,0.117807,-0.040997,-0.99219,-0.07426,-0.025647,-0.996909,0.022,-0.033,0.01,0.0,1.16,0.2,0.29,0.0,0.06,0.63,0.0,0.24,0.0,0.12,0.15,0.0,0.9,0.33,0.7
6,540.32,0.096323,-0.040861,-0.994511,-0.076526,-0.037651,-0.996356,0.01,-0.039,0.22,0.26,0.75,0.33,0.23,0.0,0.04,0.69,0.0,0.22,0.0,0.17,0.14,0.0,0.57,0.24,0.54
7,540.36,0.097104,-0.058806,-0.993535,-0.051743,-0.045448,-0.997626,0.023,-0.052,0.54,0.71,0.36,0.36,0.11,0.0,0.0,0.58,0.0,0.08,0.0,0.27,0.04,0.0,0.29,0.09,0.37
8,540.4,0.093408,-0.061178,-0.993747,-0.063118,-0.051248,-0.996689,0.015,-0.056,0.94,1.22,0.25,0.46,0.01,0.0,0.0,0.45,0.0,0.03,0.0,0.3,0.0,0.0,0.0,0.0,0.24
9,540.44,0.060293,-0.041957,-0.997299,-0.07885,-0.051622,-0.995549,-0.009,-0.047,1.18,1.41,0.17,0.37,0.02,0.0,0.0,0.41,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.17
10,540.48,0.07734,-0.046472,-0.995921,-0.066736,-0.049417,-0.996546,0.005,-0.048,1.23,1.39,0.11,0.41,0.04,0.0,0.0,0.45,0.01,0.0,0.0,0.1,0.0,0.0,0.21,0.0,0.07
11,540.52,0.067614,-0.041218,-0.99686,-0.09251,-0.028117,-0.995315,-0.012,-0.035,1.16,1.26,0.07,0.33,0.12,0.0,0.0,0.54,0.08,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0
12,540.56,0.060401,-0.041419,-0.997315,-0.090653,-0.021222,-0.995656,-0.015,-0.031,0.7,0.8,0.19,0.28,0.2,0.17,0.0,0.69,0.2,0.0,0.0,0.0,0.0,0.0,0.72,0.13,0.08
13,540.6,0.122409,-0.033495,-0.991914,-0.082179,-0.023814,-0.996333,0.02,-0.029,0.34,0.38,0.33,0.09,0.26,0.17,0.0,0.82,0.35,0.0,0.0,0.0,0.0,0.0,1.02,0.34,0.08
14,540.64,0.165326,-0.011081,-0.986177,-0.084067,-0.024104,-0.996169,0.041,-0.018,0.0,0.0,0.32,0.0,0.19,0.17,0.0,0.81,0.38,0.0,0.0,0.0,0.0,0.0,1.38,0.85,0.15
15,540.68,0.172509,-0.044099,-0.98402,-0.076981,-0.021849,-0.996793,0.048,-0.033,0.0,0.0,0.2,0.0,0.09,0.0,0.0,0.66,0.26,0.0,0.0,0.0,0.0,0.03,1.34,1.13,0.09
16,540.72,0.182915,-0.076258,-0.980167,-0.051535,-0.020767,-0.998455,0.066,-0.049,0.0,0.0,0.05,0.0,0.01,0.0,0.0,0.42,0.1,0.0,0.0,0.13,0.02,0.19,0.87,1.27,0.09
17,540.76,0.205477,-0.094183,-0.974119,-0.059752,-0.026795,-0.997854,0.074,-0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.36,0.02,0.27,0.34,0.95,0.12
18,540.8,0.163577,-0.104793,-0.980949,-0.074086,-0.05288,-0.995849,0.045,-0.08,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.1,0.0,0.0,0.0,0.62,0.02,0.24,0.04,0.87,0.22
19,540.84,0.128067,-0.100587,-0.986652,-0.089549,-0.06112,-0.994105,0.019,-0.081,0.0,0.0,0.03,0.0,0.0,0.02,0.0,0.09,0.0,0.0,0.0,0.57,0.0,0.08,0.08,0.74,0.26
20,540.88,0.095528,-0.104118,-0.989967,-0.120571,-0.056663,-0.991086,-0.013,-0.081,0.0,0.0,0.2,0.0,0.0,0.02,0.0,0.24,0.0,0.0,0.0,0.42,0.0,0.0,0.28,0.77,0.29
21,540.92,0.079451,-0.107458,-0.99103,-0.109733,-0.099679,-0.98895,-0.015,-0.104,0.0,0.0,0.58,0.0,0.0,0.01,0.0,0.31,0.0,0.09,0.0,0.2,0.0,0.0,0.5,0.72,0.35
22,540.96,0.054678,-0.10319,-0.993158,-0.103085,-0.111936,-0.988354,-0.024,-0.108,0.04,0.0,0.8,0.0,0.05,0.01,0.06,0.38,0.0,0.17,0.0,0.12,0.0,0.0,0.52,0.58,0.47
23,541.0,0.035058,-0.116762,-0.992541,-0.065913,-0.112591,-0.991453,-0.016,-0.115,0.04,0.0,0.72,0.0,0.08,0.06,0.14,0.24,0.0,0.18,0.0,0.04,0.0,0.0,0.32,0.52,0.65
24,541.04,-0.004281,-0.130627,-0.991422,-0.068794,-0.098893,-0.992717,-0.037,-0.115,0.04,0.0,0.45,0.0,0.1,0.05,0.22,0.18,0.0,0.13,0.0,0.0,0.0,0.0,0.13,0.51,0.86
25,541.08,-0.005411,-0.139541,-0.990202,-0.117168,-0.099481,-0.988117,-0.062,-0.12,0.0,0.0,0.32,0.0,0.04,0.05,0.17,0.14,0.0,0.05,0.0,0.01,0.0,0.0,0.18,0.83,1.07
26,541.12,0.012009,-0.137744,-0.990395,-0.09962,-0.10367,-0.98961,-0.044,-0.121,0.0,0.0,0.39,0.0,0.04,0.0,0.13,0.29,0.0,0.04,0.0,0.07,0.0,0.0,0.36,0.98,0.97
27,541.16,0.031064,-0.154093,-0.987568,-0.111123,-0.118624,-0.986702,-0.041,-0.137,0.01,0.0,0.42,0.0,0.03,0.0,0.09,0.48,0.0,0.0,0.0,0.11,0.0,0.0,0.54,1.03,0.71
28,541.2,0.051181,-0.141466,-0.988619,-0.102437,-0.105365,-0.989143,-0.026,-0.124,0.01,0.0,0.41,0.0,0.03,0.0,0.08,0.6,0.0,0.0,0.0,0.14,0.0,0.0,0.63,1.01,0.53
29,541.24,0.072089,-0.143366,-0.987041,-0.110239,-0.105706,-0.988268,-0.019,-0.125,0.01,0.0,0.35,0.0,0.0,0.0,0.04,0.65,0.0,0.0,0.0,0.15,0.0,0.0,0.59,0.88,0.39
30,541.28,0.086761,-0.128887,-0.987857,-0.101544,-0.097861,-0.990006,-0.007,-0.114,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.2,0.0,0.0,0.43,0.64,0.42
31,541.32,0.07994,-0.137581,-0.987259,-0.087714,-0.118685,-0.98905,-0.004,-0.129,0.0,0.0,0.49,0.0,0.0,0.0,0.01,0.72,0.0,0.0,0.0,0.43,0.0,0.0,0.2,0.42,0.31
32,541.36,0.074343,-0.162323,-0.983933,-0.096942,-0.14253,-0.985032,-0.011,-0.154,0.08,0.0,0.66,0.0,0.0,0.0,0.03,0.72,0.0,0.0,0.0,0.69,0.0,0.0,0.06,0.49,0.32
33,541.4,0.073378,-0.200724,-0.976896,-0.079319,-0.197922,-0.977003,-0.003,-0.201,0.23,0.0,0.83,0.15,0.0,0.0,0.03,0.57,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.71,0.36
34,541.44,0.087099,-0.231918,-0.968828,-0.068747,-0.221907,-0.972641,0.009,-0.23,0.32,0.1,0.83,0.38,0.05,0.0,0.03,0.43,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.83,0.43
35,541.48,0.072748,-0.245046,-0.966778,-0.105709,-0.227836,-0.967944,-0.017,-0.24,0.24,0.1,0.6,0.38,0.11,0.02,0.03,0.22,0.01,0.0,0.0,0.84,0.0,0.0,0.0,0.9,0.54
36,541.52,0.049801,-0.237144,-0.970197,-0.058591,-0.169519,-0.983784,-0.004,-0.205,0.09,0.09,0.27,0.23,0.21,0.02,0.1,0.09,0.02,0.0,0.0,0.63,0.0,0.0,0.0,1.0,0.52
37,541.56,0.040224,-0.241822,-0.969486,-0.070507,-0.177854,-0.981528,-0.016,-0.212,0.0,0.0,0.03,0.0,0.26,0.02,0.16,0.02,0.05,0.0,0.0,0.34,0.0,0.0,0.01,1.25,0.62
38,541.6,0.049853,-0.22106,-0.973985,-0.117205,-0.185964,-0.975541,-0.035,-0.206,0.0,0.0,0.0,0.0,0.31,0.13,0.22,0.03,0.11,0.0,0.0,0.32,0.0,0.0,0.04,1.43,0.74
39,541.64,0.046363,-0.213355,-0.975874,-0.125559,-0.177409,-0.976095,-0.041,-0.198,0.0,0.0,0.0,0.0,0.33,0.3,0.27,0.03,0.11,0.0,0.0,0.37,0.0,0.0,0.08,1.65,0.93
40,541.68,0.041891,-0.204722,-0.977923,-0.140821,-0.170694,-0.975209,-0.051,-0.19,0.01,0.0,0.06,0.0,0.3,0.63,0.28,0.03,0.08,0.0,0.0,0.67,0.0,0.0,0.07,1.84,1.04
41,541.72,0.036374,-0.2097,-0.977089,-0.165325,-0.178881,-0.969881,-0.066,-0.197,0.1,0.02,0.17,0.0,0.19,0.74,0.21,0.0,0.01,0.0,0.0,0.65,0.0,0.0,0.05,1.82,1.03
42,541.76,0.033507,-0.211103,-0.976889,-0.138666,-0.159417,-0.977424,-0.054,-0.187,0.25,0.02,0.27,0.0,0.07,0.79,0.08,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.03,1.68,0.91
43,541.8,0.020648,-0.213981,-0.97662,-0.129854,-0.165558,-0.977614,-0.056,-0.192,0.35,0.02,0.42,0.0,0.01,0.76,0.03,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.16,1.57,0.77
44,541.84,0.056046,-0.209217,-0.976262,-0.123117,-0.169543,-0.977802,-0.034,-0.191,0.4,0.0,0.55,0.0,0.04,0.68,0.03,0.0,0.04,0.04,0.0,0.15,0.0,0.0,0.22,1.61,0.64
45,541.88,0.065018,-0.224295,-0.97235,-0.12476,-0.185219,-0.974746,-0.031,-0.207,0.35,0.0,0.49,0.0,0.04,0.63,0.03,0.0,0.04,0.09,0.0,0.32,0.0,0.0,0.23,1.59,0.71
46,541.92,0.040883,-0.203683,-0.978183,-0.124547,-0.164231,-0.978528,-0.043,-0.186,0.39,0.0,0.29,0.0,0.03,0.5,0.0,0.01,0.05,0.09,0.0,0.49,0.0,0.0,0.11,1.48,0.74
47,541.96,0.055018,-0.225521,-0.972684,-0.114525,-0.186742,-0.975711,-0.031,-0.209,0.4,0.0,0.16,0.0,0.01,0.5,0.0,0.19,0.01,0.05,0.0,0.66,0.0,0.0,0.08,1.52,0.83
48,542.0,0.055836,-0.224283,-0.972923,-0.10847,-0.202825,-0.973189,-0.027,-0.216,0.41,0.0,0.24,0.0,0.09,0.49,0.03,0.34,0.01,0.05,0.0,0.85,0.0,0.0,0.13,1.47,0.85
49,542.04,0.047291,-0.209193,-0.97673,-0.118251,-0.193548,-0.973938,-0.036,-0.204,0.29,0.0,0.31,0.0,0.14,0.53,0.11,0.43,0.0,0.05,0.0,1.01,0.0,0.0,0.12,1.39,0.95
50,542.08,0.059226,-0.189988,-0.979998,-0.119098,-0.192011,-0.974139,-0.031,-0.193,0.13,0.0,0.31,0.0,0.24,0.78,0.21,0.34,0.0,0.07,0.0,1.13,0.0,0.0,0.15,1.32,1.19
51,542.12,0.026343,-0.17559,-0.984111,-0.098666,-0.17143,-0.980243,-0.037,-0.175,0.02,0.0,0.24,0.0,0.23,0.63,0.33,0.23,0.01,0.03,0.0,1.01,0.0,0.0,0.16,1.35,1.6
52,542.16,0.050408,-0.143042,-0.988432,-0.24772,-0.161294,-0.955311,-0.101,-0.155,0.0,0.0,0.23,0.16,0.31,0.42,0.4,0.15,0.02,0.09,0.0,0.87,0.0,0.0,0.17,1.37,2.05
