,timestamp,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,540.08,0.16906,-0.111514,-0.979277,0.06177,-0.189358,-0.979963,0.117,-0.152,0.0,0.0,0.0,0.01,1.26,0.2,0.0,0.18,0.76,1.53,0.07,0.11,0.88,0.51,0.47,0.0,0.0
1,540.12,0.181866,-0.074009,-0.980534,0.040065,-0.109894,-0.993136,0.112,-0.093,0.0,0.0,0.0,0.0,1.37,0.28,0.0,0.17,0.83,1.62,0.1,0.11,1.2,0.32,0.55,0.0,0.57
2,540.16,0.157025,-0.038917,-0.986827,0.021475,-0.020449,-0.99956,0.09,-0.03,0.0,0.0,0.0,0.0,1.45,0.5,0.09,0.2,0.86,1.73,0.08,0.09,1.49,0.13,0.59,0.0,1.18
3,540.2,0.130986,-0.030697,-0.990909,1.8e-05,-0.001607,-0.999999,0.066,-0.016,0.0,0.0,0.0,0.0,1.41,0.63,0.14,0.36,0.73,1.79,0.06,0.2,1.39,0.01,0.46,0.0,1.35
4,540.24,0.197592,-0.081915,-0.976856,0.002743,-0.08577,-0.996311,0.101,-0.085,0.0,0.0,0.0,0.0,1.4,1.11,0.24,0.73,0.63,1.53,0.04,0.2,1.34,0.0,0.31,0.0,1.24
5,540.28,0.188328,-0.10609,-0.976359,0.052698,-0.085851,-0.994913,0.122,-0.097,0.0,0.0,0.0,0.0,1.37,1.51,0.2,1.1,0.63,1.14,0.04,0.14,1.13,0.0,0.26,0.0,0.98
6,540.32,0.167763,-0.11557,-0.97903,0.023431,-0.11062,-0.993587,0.097,-0.114,0.0,0.0,0.0,0.0,1.32,1.84,0.17,1.21,0.71,0.87,0.0,0.0,1.03,0.0,0.27,0.0,1.17
7,540.36,0.097564,-0.182865,-0.978285,0.004161,-0.154309,-0.988014,0.052,-0.17,0.0,0.0,0.0,0.0,1.27,1.54,0.08,1.11,0.67,0.91,0.01,0.08,0.98,0.0,0.19,0.0,0.94
8,540.4,0.064886,-0.188299,-0.979966,-0.032936,-0.133195,-0.990542,0.016,-0.162,0.0,0.0,0.0,0.0,1.27,1.16,0.04,0.76,0.68,1.17,0.01,0.08,0.92,0.0,0.05,0.0,0.65
9,540.44,0.025798,-0.217718,-0.975671,-0.047888,-0.153753,-0.986948,-0.011,-0.187,0.0,0.0,0.0,0.0,1.33,0.68,0.02,0.39,0.74,1.26,0.08,0.08,0.9,0.0,0.1,0.0,0.3
10,540.48,-0.008666,-0.181125,-0.983422,-0.079031,-0.131708,-0.988133,-0.044,-0.157,0.0,0.0,0.0,0.0,1.38,0.61,0.07,0.1,0.86,1.23,0.07,0.0,0.52,0.0,0.1,0.0,0.18
11,540.52,0.014108,-0.155705,-0.987703,-0.071486,-0.108444,-0.991529,-0.029,-0.133,0.0,0.0,0.0,0.0,1.45,0.52,0.22,0.0,0.87,1.21,0.07,0.1,0.36,0.0,0.1,0.0,0.33
12,540.56,0.01355,-0.131879,-0.991173,-0.107608,-0.137734,-0.984606,-0.048,-0.136,0.0,0.0,0.0,0.0,1.47,0.39,0.49,0.0,0.88,1.31,0.0,0.1,0.35,0.09,0.0,0.0,0.46
13,540.6,-0.035097,-0.091231,-0.995211,-0.18352,-0.059855,-0.981192,-0.11,-0.076,0.0,0.0,0.0,0.0,1.47,0.19,0.66,0.14,1.0,1.43,0.0,0.1,0.75,0.23,0.0,0.0,0.56
14,540.64,-0.00648,-0.064708,-0.997883,-0.195724,-0.041449,-0.979783,-0.102,-0.054,0.0,0.0,0.0,0.0,1.49,0.11,0.73,0.37,1.18,1.54,0.0,0.0,1.15,0.49,0.0,0.0,0.36
15,540.68,-0.013782,-0.064163,-0.997844,-0.204664,-0.029526,-0.978387,-0.11,-0.047,0.0,0.0,0.0,0.0,1.53,0.16,0.62,0.67,1.31,1.59,0.0,0.02,1.41,0.7,0.0,0.0,0.29
16,540.72,-0.048734,-0.062097,-0.99688,-0.204086,-0.049753,-0.977688,-0.127,-0.057,0.0,0.0,0.0,0.0,1.61,0.27,0.53,0.81,1.37,1.72,0.0,0.02,1.49,0.9,0.0,0.0,0.09
17,540.76,-0.033654,-0.077918,-0.996392,-0.165874,-0.052124,-0.984769,-0.1,-0.066,0.0,0.0,0.0,0.0,1.67,0.45,0.34,0.83,1.43,1.68,0.02,0.02,1.65,1.01,0.0,0.0,0.08
18,540.8,-0.036246,-0.096419,-0.994681,-0.145208,-0.054252,-0.987913,-0.091,-0.076,0.0,0.0,0.0,0.0,1.72,0.52,0.16,0.78,1.54,1.57,0.02,0.0,1.78,1.1,0.0,0.0,0.0
19,540.84,-0.028065,-0.128574,-0.991303,-0.136947,-0.079708,-0.987366,-0.083,-0.105,0.0,0.0,0.0,0.0,1.79,0.55,0.02,0.68,1.57,1.21,0.02,0.0,1.77,1.15,0.0,0.0,0.0
20,540.88,0.00034,-0.177149,-0.984184,-0.10508,-0.110067,-0.988354,-0.053,-0.145,0.0,0.0,0.0,0.0,1.76,0.49,0.0,0.53,1.55,0.78,0.0,0.0,1.53,1.09,0.06,0.0,0.0
21,540.92,0.020114,-0.169946,-0.985248,-0.079874,-0.112055,-0.990487,-0.03,-0.142,0.0,0.0,0.0,0.0,1.67,0.61,0.0,0.28,1.38,0.42,0.0,0.0,1.13,0.87,0.33,0.0,0.0
22,540.96,-0.000489,-0.152368,-0.988324,-0.079788,-0.111992,-0.990501,-0.041,-0.133,0.0,0.0,0.0,0.0,1.54,0.67,0.0,0.1,1.14,0.32,0.0,0.0,0.87,0.51,0.73,0.0,0.0
23,541.0,0.005536,-0.144871,-0.989435,-0.076368,-0.1054,-0.991493,-0.036,-0.126,0.0,0.0,0.0,0.0,1.44,0.8,0.0,0.01,0.82,0.26,0.05,0.0,0.66,0.19,1.14,0.0,0.0
24,541.04,0.000373,-0.144051,-0.98957,-0.070314,-0.115902,-0.990769,-0.035,-0.131,0.0,0.0,0.0,0.0,1.41,0.82,0.04,0.0,0.59,0.21,0.08,0.0,0.53,0.03,1.44,0.0,0.0
25,541.08,0.002878,-0.146599,-0.989192,-0.087607,-0.118649,-0.989064,-0.043,-0.133,0.0,0.0,0.0,0.0,1.38,0.92,0.04,0.0,0.5,0.19,0.11,0.01,0.42,0.0,1.63,0.0,0.0
26,541.12,-0.000417,-0.149485,-0.988764,-0.095213,-0.112334,-0.989098,-0.048,-0.132,0.0,0.0,0.0,0.0,1.36,0.98,0.11,0.0,0.5,0.21,0.07,0.01,0.31,0.0,1.95,0.1,0.0
27,541.16,0.012717,-0.158256,-0.987316,-0.100991,-0.113525,-0.988389,-0.045,-0.137,0.0,0.0,0.0,0.0,1.27,1.06,0.07,0.0,0.53,0.34,0.03,0.01,0.27,0.0,2.12,0.17,0.0
28,541.2,-0.008264,-0.113622,-0.99349,-0.113499,-0.101796,-0.98831,-0.061,-0.108,0.0,0.0,0.0,0.0,1.17,0.86,0.07,0.0,0.49,0.37,0.0,0.0,0.24,0.0,2.35,0.39,0.45
29,541.24,0.000814,-0.068829,-0.997628,-0.163614,-0.029303,-0.986089,-0.082,-0.049,0.0,0.0,0.0,0.0,0.98,0.58,0.0,0.0,0.3,0.36,0.0,0.03,0.28,0.0,1.89,0.6,1.22
30,541.28,0.00575,0.009224,-0.999941,-0.180458,0.011797,-0.983512,-0.088,0.011,0.0,0.0,0.0,0.0,0.77,0.21,0.0,0.0,0.12,0.21,0.03,0.23,0.23,0.0,1.16,0.53,2.25
31,541.32,0.022402,0.069847,-0.997306,-0.172496,0.05355,-0.983554,-0.076,0.062,0.0,0.0,0.07,0.0,0.62,0.15,0.0,0.0,0.0,0.07,0.03,0.47,0.16,0.0,0.41,0.38,2.81
32,541.36,0.029955,0.085171,-0.995916,-0.170677,0.104751,-0.979743,-0.071,0.096,0.0,0.0,0.26,0.0,0.58,0.15,0.0,0.0,0.01,0.0,0.06,0.61,0.03,0.0,0.72,0.2,3.12
33,541.4,0.028861,0.088267,-0.995679,-0.203688,0.112193,-0.972586,-0.089,0.101,0.0,0.0,0.41,0.0,0.59,0.16,0.0,0.01,0.01,0.06,0.03,0.55,0.0,0.0,1.61,0.27,3.35
34,541.44,0.11509,0.11297,-0.98691,-0.212455,0.127708,-0.96879,-0.05,0.122,0.0,0.0,0.39,0.0,0.63,0.11,0.0,0.08,0.03,0.11,0.03,0.55,0.0,0.0,2.03,0.19,3.58
35,541.48,0.092641,0.129116,-0.987293,-0.185802,0.137781,-0.972879,-0.047,0.135,0.0,0.0,0.37,0.0,0.72,0.01,0.0,0.28,0.02,0.11,0.0,0.5,0.03,0.0,1.68,0.07,3.66
36,541.52,0.096312,0.157384,-0.98283,-0.21325,0.142127,-0.966604,-0.06,0.152,0.0,0.0,0.42,0.0,0.76,0.02,0.0,0.49,0.04,0.05,0.0,0.58,0.03,0.0,1.22,0.06,3.51
