,timestamp,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,50.0,0.031364,0.430612,-0.901992,-0.303883,0.480676,-0.822561,-0.157,0.486,0.1,0.0,1.53,0.0,0.43,0.0,0.24,1.69,0.94,2.31,0.0,0.14,0.05,0.0,1.09,0.0,1.01
1,50.03,0.043245,0.406748,-0.912516,-0.311321,0.477651,-0.821541,-0.153,0.472,0.13,0.01,1.57,0.0,0.43,0.0,0.24,1.64,0.94,2.37,0.0,0.17,0.06,0.0,1.21,0.0,0.96
2,50.07,0.045786,0.395309,-0.917406,-0.332529,0.496332,-0.801922,-0.165,0.478,0.16,0.03,1.57,0.0,0.44,0.0,0.26,1.58,0.94,2.37,0.0,0.19,0.08,0.0,1.29,0.0,0.83
3,50.1,0.047451,0.39368,-0.918022,-0.330551,0.497099,-0.802265,-0.163,0.478,0.23,0.03,1.54,0.0,0.47,0.0,0.29,1.56,0.92,2.37,0.0,0.19,0.11,0.0,1.3,0.0,0.73
4,50.13,0.039352,0.405405,-0.91329,-0.328506,0.497566,-0.802815,-0.167,0.484,0.26,0.03,1.58,0.0,0.48,0.0,0.3,1.57,0.91,2.31,0.0,0.14,0.2,0.0,1.36,0.0,0.69
5,50.17,0.034347,0.404848,-0.913739,-0.330077,0.495073,-0.803711,-0.171,0.483,0.24,0.0,1.6,0.0,0.51,0.0,0.31,1.57,0.92,2.31,0.0,0.09,0.26,0.0,1.45,0.0,0.72
6,50.2,0.034345,0.405066,-0.913642,-0.328225,0.495062,-0.804476,-0.169,0.483,0.24,0.01,1.62,0.0,0.52,0.0,0.33,1.63,0.93,2.38,0.0,0.03,0.33,0.0,1.5,0.0,0.77
7,50.23,0.03114,0.401758,-0.915216,-0.328243,0.496133,-0.803809,-0.171,0.481,0.25,0.01,1.6,0.0,0.51,0.0,0.32,1.65,0.92,2.45,0.0,0.05,0.25,0.0,1.43,0.0,0.74
8,50.27,0.033221,0.4027,-0.914729,-0.33069,0.498369,-0.801419,-0.172,0.483,0.27,0.01,1.61,0.0,0.5,0.0,0.32,1.67,0.9,2.5,0.0,0.07,0.27,0.0,1.37,0.0,0.66
9,50.3,0.032847,0.401869,-0.915108,-0.329588,0.496857,-0.802811,-0.171,0.482,0.32,0.02,1.68,0.0,0.51,0.0,0.31,1.69,0.89,2.46,0.0,0.1,0.19,0.0,1.3,0.0,0.62
