,timestamp,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,220.03,0.127509,0.03883,-0.991077,0.13522,0.013189,-0.990728,0.132,0.026,0.14,0.03,0.33,0.61,1.03,1.34,0.09,1.82,0.26,0.04,0.1,0.76,0.27,0.0,1.05,1.18,0.0
1,220.07,0.142032,0.023193,-0.98959,0.122902,-0.008195,-0.992385,0.133,0.008,0.09,0.0,0.33,0.7,1.05,1.18,0.1,1.84,0.2,0.04,0.0,0.7,0.35,0.0,0.91,0.69,0.0
2,220.11,0.133184,0.026839,-0.990728,0.107751,-0.007746,-0.994148,0.121,0.01,0.04,0.0,0.32,0.7,1.1,1.19,0.12,1.82,0.18,0.0,0.0,0.55,0.46,0.0,0.93,0.35,0.0
3,220.15,0.130749,0.045314,-0.990379,0.104936,-0.011893,-0.994408,0.118,0.017,0.03,0.0,0.56,0.78,1.13,1.14,0.19,1.86,0.15,0.04,0.03,0.65,0.34,0.0,1.01,0.12,0.0
4,220.19,0.159218,0.034167,-0.986652,0.085867,-0.048723,-0.995115,0.123,-0.007,0.0,0.0,0.75,0.78,1.18,1.17,0.35,1.83,0.14,0.04,0.03,0.72,0.15,0.0,1.0,0.08,0.0
5,220.23,0.150519,0.033186,-0.98805,0.099891,-0.043534,-0.994046,0.126,-0.005,0.0,0.0,0.86,0.79,1.2,0.98,0.46,1.9,0.13,0.04,0.05,0.85,0.0,0.0,1.02,0.0,0.0
6,220.27,0.164975,0.027254,-0.985921,0.107842,-0.044779,-0.993159,0.137,-0.009,0.0,0.0,0.76,0.76,1.24,0.86,0.5,1.86,0.18,0.1,0.05,0.82,0.0,0.0,0.99,0.0,0.0
7,220.31,0.163595,0.022279,-0.986276,0.099032,-0.04181,-0.994206,0.132,-0.01,0.0,0.0,0.76,0.71,1.19,0.66,0.45,1.92,0.19,0.19,0.09,0.82,0.01,0.0,1.14,0.17,0.0
8,220.35,0.161859,0.024118,-0.986519,0.098479,-0.040959,-0.994296,0.131,-0.009,0.0,0.0,0.77,0.68,1.18,0.73,0.42,1.91,0.2,0.27,0.07,0.88,0.02,0.0,1.2,0.36,0.0
9,220.39,0.165839,0.023269,-0.985878,0.102568,-0.037241,-0.994029,0.135,-0.007,0.0,0.0,0.78,0.66,1.16,0.74,0.34,1.95,0.2,0.22,0.12,1.03,0.02,0.0,1.13,0.47,0.0
10,220.43,0.159791,0.01871,-0.986974,0.097628,-0.02895,-0.994802,0.129,-0.005,0.0,0.0,0.81,0.57,1.16,0.71,0.27,1.84,0.2,0.18,0.08,1.12,0.01,0.0,0.97,0.35,0.0
11,220.47,0.159243,0.02564,-0.986906,0.092284,-0.018373,-0.995563,0.126,0.004,0.0,0.0,0.9,0.55,1.13,0.54,0.14,1.8,0.23,0.21,0.16,1.15,0.0,0.0,0.9,0.24,0.0
12,220.51,0.169178,0.041214,-0.984723,0.076105,-0.009119,-0.997058,0.123,0.016,0.0,0.0,1.0,0.51,1.09,0.48,0.09,1.77,0.25,0.29,0.08,1.03,0.0,0.0,0.99,0.23,0.0
13,220.55,0.169802,0.049192,-0.98425,0.082293,-0.008421,-0.996573,0.127,0.021,0.0,0.0,1.04,0.6,1.13,0.57,0.08,1.74,0.27,0.31,0.08,1.09,0.0,0.0,1.12,0.36,0.0
14,220.59,0.1681,0.044313,-0.984774,0.083289,-0.002774,-0.996522,0.126,0.021,0.0,0.0,1.04,0.69,1.12,0.49,0.08,1.69,0.25,0.23,0.0,1.25,0.0,0.0,0.98,0.49,0.0
15,220.63,0.1576,0.045557,-0.986452,0.088795,0.010523,-0.995994,0.124,0.028,0.0,0.0,1.02,0.72,1.15,0.52,0.07,1.63,0.2,0.14,0.0,1.51,0.0,0.0,0.74,0.59,0.0
16,220.67,0.156763,0.049227,-0.986409,0.091754,0.015968,-0.995654,0.125,0.033,0.0,0.0,0.93,0.73,1.12,0.55,0.04,1.63,0.17,0.09,0.0,1.5,0.0,0.0,0.56,0.63,0.0
17,220.71,0.162888,0.04418,-0.985655,0.098943,0.018458,-0.994922,0.131,0.032,0.0,0.0,0.81,0.68,1.12,0.67,0.06,1.55,0.17,0.08,0.0,1.28,0.0,0.0,0.8,0.68,0.0
18,220.75,0.155451,0.047397,-0.986706,0.096558,0.012789,-0.995245,0.126,0.03,0.0,0.0,0.7,0.64,1.08,0.71,0.09,1.52,0.17,0.06,0.0,1.1,0.0,0.0,0.9,0.61,0.0
19,220.79,0.142966,0.053578,-0.988276,0.103417,0.006168,-0.994619,0.124,0.03,0.0,0.0,0.62,0.62,1.03,0.69,0.06,1.52,0.15,0.04,0.0,1.2,0.0,0.11,0.66,0.38,0.0
20,220.83,0.135317,0.042755,-0.989879,0.085684,0.007349,-0.996295,0.111,0.025,0.0,0.0,0.69,0.55,0.98,0.8,0.08,1.47,0.1,0.04,0.0,1.53,0.0,0.17,0.24,0.24,0.0
21,220.87,0.123824,0.039472,-0.991519,0.054751,-0.004687,-0.998489,0.089,0.017,0.0,0.0,0.72,0.56,1.01,0.96,0.16,1.47,0.07,0.02,0.0,1.73,0.0,0.29,0.08,0.37,0.0
22,220.91,0.137872,0.070635,-0.987928,0.049255,0.00788,-0.998755,0.094,0.04,0.0,0.0,0.75,0.54,1.07,0.99,0.17,1.46,0.11,0.03,0.0,1.61,0.0,0.21,0.37,0.63,0.0
23,220.95,0.134687,0.081704,-0.987514,0.052133,0.020615,-0.998427,0.094,0.051,0.0,0.0,0.71,0.56,1.12,0.95,0.19,1.47,0.17,0.02,0.0,1.28,0.0,0.15,0.83,0.68,0.0
24,220.99,0.154691,0.053327,-0.986523,0.057849,0.002835,-0.998321,0.107,0.028,0.03,0.0,0.71,0.56,1.1,0.93,0.14,1.45,0.24,0.02,0.0,1.0,0.0,0.04,1.28,0.63,0.0
25,221.03,0.19755,0.058203,-0.978564,0.062345,0.025191,-0.997737,0.131,0.042,0.03,0.0,0.73,0.54,1.06,0.81,0.12,1.45,0.26,0.08,0.0,0.98,0.01,0.0,1.4,0.51,0.0
26,221.07,0.223673,0.082852,-0.971136,0.075821,0.019244,-0.996936,0.151,0.052,0.03,0.0,0.77,0.51,1.03,0.82,0.08,1.56,0.25,0.14,0.0,0.94,0.01,0.0,1.51,0.46,0.0
27,221.11,0.206009,0.061939,-0.976588,0.057437,-0.003784,-0.998342,0.133,0.029,0.05,0.0,0.8,0.46,1.03,0.73,0.04,1.53,0.24,0.15,0.0,0.93,0.01,0.01,1.41,0.32,0.0
28,221.15,0.220455,0.06489,-0.973236,0.089389,0.038322,-0.995259,0.156,0.052,0.05,0.0,0.81,0.43,1.07,0.72,0.04,1.57,0.22,0.09,0.0,0.9,0.02,0.01,1.33,0.18,0.0
29,221.19,0.255928,0.068244,-0.964284,0.110391,0.047911,-0.992733,0.185,0.059,0.05,0.0,0.75,0.44,1.14,0.58,0.04,1.56,0.23,0.11,0.0,1.06,0.03,0.01,0.93,0.1,0.0
30,221.23,0.246258,0.045015,-0.968158,0.104859,0.028876,-0.994068,0.177,0.038,0.0,0.0,0.65,0.53,1.28,0.62,0.04,1.71,0.25,0.17,0.0,1.23,0.03,0.0,0.51,0.03,0.0
31,221.27,0.265226,0.027418,-0.963796,0.114243,0.007457,-0.993425,0.192,0.018,0.0,0.0,0.55,0.57,1.32,0.8,0.09,1.78,0.26,0.17,0.0,1.34,0.04,0.0,0.29,0.02,0.0
32,221.31,0.250623,0.032246,-0.967548,0.115413,0.010306,-0.993264,0.185,0.022,0.0,0.0,0.49,0.54,1.31,0.76,0.14,1.89,0.24,0.07,0.0,1.22,0.1,0.0,0.35,0.0,0.0
33,221.35,0.245117,0.033821,-0.968903,0.122901,0.011091,-0.992357,0.185,0.023,0.0,0.0,0.52,0.47,1.22,0.61,0.13,1.81,0.24,0.02,0.07,1.03,0.1,0.0,0.72,0.01,0.0
34,221.39,0.228887,0.032592,-0.972907,0.134151,0.009882,-0.990912,0.183,0.022,0.0,0.0,0.63,0.44,1.2,0.54,0.12,1.76,0.26,0.11,0.09,0.87,0.09,0.0,1.06,0.06,0.0
35,221.43,0.222437,0.022664,-0.974684,0.111106,0.035105,-0.993188,0.168,0.029,0.0,0.0,0.76,0.52,1.17,0.4,0.06,1.75,0.25,0.29,0.09,0.77,0.06,0.0,1.24,0.17,0.0
36,221.47,0.23518,0.043449,-0.97098,0.131376,-0.035658,-0.990691,0.185,0.004,0.0,0.0,0.89,0.61,1.15,0.25,0.04,1.86,0.21,0.44,0.02,0.73,0.06,0.0,1.25,0.18,0.0
37,221.51,0.242251,0.043526,-0.969237,0.13422,-0.030155,-0.990493,0.19,0.007,0.04,0.0,0.99,0.66,1.1,0.13,0.01,1.93,0.12,0.54,0.0,0.72,0.08,0.0,1.21,0.13,0.0
38,221.55,0.220012,0.025721,-0.975158,0.11994,-0.056364,-0.99118,0.171,-0.016,0.12,0.0,1.05,0.66,1.04,0.27,0.08,1.88,0.08,0.49,0.0,0.76,0.1,0.0,1.01,0.02,0.0
39,221.59,0.23082,0.031454,-0.972488,0.122736,-0.045799,-0.991382,0.178,-0.007,0.12,0.0,1.09,0.66,1.1,0.66,0.12,1.85,0.08,0.5,0.0,0.79,0.21,0.0,0.7,0.0,0.07
40,221.63,0.186016,0.105488,-0.976868,0.067024,0.057186,-0.996111,0.128,0.082,0.13,0.0,1.1,0.57,1.18,0.98,0.16,1.84,0.18,0.45,0.0,0.69,0.2,0.0,0.66,0.0,0.83
41,221.67,0.217624,0.227057,-0.949255,0.029881,0.179413,-0.98332,0.127,0.207,0.18,0.0,1.12,0.33,1.32,1.27,0.25,1.82,0.37,0.5,0.0,0.53,0.26,0.0,1.05,0.05,1.67
42,221.71,0.217658,0.205424,-0.954162,-0.008751,0.170929,-0.985245,0.107,0.192,0.31,0.0,1.28,0.1,1.37,1.35,0.49,1.83,0.46,0.51,0.0,0.32,0.28,0.0,1.51,0.12,2.44
43,221.75,0.15578,0.182944,-0.970703,-0.017661,0.11395,-0.99333,0.07,0.15,0.35,0.0,1.33,0.0,1.35,1.34,0.65,1.83,0.49,0.5,0.0,0.27,0.36,0.0,1.69,0.17,2.25
44,221.79,0.137681,0.142612,-0.980156,-0.034728,0.083102,-0.995936,0.052,0.114,0.28,0.0,1.39,0.0,1.4,1.35,0.66,1.88,0.48,0.48,0.0,0.26,0.33,0.0,1.69,0.16,1.69
45,221.83,0.133174,0.112105,-0.984732,-0.017499,0.085507,-0.996184,0.058,0.099,0.17,0.0,1.22,0.0,1.45,1.44,0.53,1.85,0.55,0.53,0.0,0.41,0.37,0.02,1.74,0.23,1.02
46,221.87,0.133408,0.089042,-0.987053,-0.005352,0.069727,-0.997552,0.064,0.08,0.07,0.0,1.13,0.0,1.5,1.41,0.47,1.85,0.6,0.52,0.0,0.4,0.36,0.02,1.79,0.34,0.51
47,221.91,0.141422,0.058594,-0.988214,0.020425,0.065953,-0.997614,0.081,0.063,0.01,0.0,1.04,0.0,1.47,1.35,0.43,1.83,0.61,0.5,0.0,0.35,0.33,0.02,1.87,0.44,0.3
48,221.95,0.146326,0.06421,-0.98715,0.01408,0.066208,-0.997706,0.081,0.066,0.0,0.0,0.99,0.0,1.45,1.18,0.41,1.86,0.61,0.37,0.0,0.17,0.22,0.0,1.93,0.36,0.21
