,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06409139267440092,0.0,0.06836415218602766,0.0,0.06409139267440092,0.017091038046506916,0.0,0.12391002583717511,0.04700035462789403,0.029909316581387117,0.0,0.08118243072090783,0.0897279497441613,0.0,0.10681898779066822,0.12818278534880184,0.2820021277673641
6,0.02320239703125791,0.19164849546582907,-0.8999839855615785,-0.23495588773494097,0.1770267477582451,-0.8722387017579412,-0.10987567759258322,0.18859005015451644,0.5457875272303562,0.05382694158771972,0.46196818481179375,0.0,0.4228861644460207,0.11365317391965148,0.0,0.6370266984143068,0.31249708698515644,0.29553827448199,0.09523228127058109,0.8099128628603274,0.5202001114544808,0.0,0.7415563098434573,0.982020872384619,1.3950696590506106
7,-0.13666946912204267,0.2692160346522114,-0.9490366229798874,-0.2915797523684077,0.2970883060945337,-0.908478996605704,-0.2267415775875171,0.2957846395460763,1.133192157657429,0.15722326358984753,0.4678013070570951,0.0,0.8000339429555702,0.05163584781397234,0.0,0.7656856983636455,0.4853721059830794,0.641786817974568,0.32347180708242573,1.6280353614671468,0.8320173261056792,0.0,1.000305993211409,1.8899280611986424,1.1576087947717721
8,-0.0693669731496023,0.30322188104767206,-0.9487916289579007,-0.277020337960383,0.3465020255332084,-0.8960646130503067,-0.18587912254926792,0.33851491970211245,1.4977785095496223,0.03212320786260703,0.9788059172197174,0.0,0.6668417852981408,0.0,0.0,0.7938269415877195,0.3859577486194843,1.1655646182684023,0.18389128121991996,1.4753118192410968,0.7658255230761437,0.0,1.3206307310400733,1.8568417852981405,1.1907705557525712
9,-0.01365560266477532,0.26925079031359245,-0.9629526913217488,-0.27417748259790264,0.33852212574091906,-0.900119556461827,-0.15298262323319314,0.31524707431987437,1.7910010638836817,0.008809970109934647,1.6518207609301376,0.0,0.6463392269111911,0.0,0.0,0.9958027255686712,0.18966006383302092,1.4193312731141394,0.05555347282030496,1.1290896195349311,0.6849338872283295,0.0,1.8526141141901822,1.847570798925984,1.4075292568012565
